Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/04  16:00:00,1.07188748709,5.77187223422,0.0,5.0060363708,0.0,0.137832625013,0.137832625013,0.137832625013,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.737661152994
 01/04  17:00:00,1.34363500016,6.09138087037,0.0,5.24894691202,0.0,0.14452075012,0.14452075012,0.14452075012,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.809108213922
 01/04  18:00:00,1.87310232034,7.66332439349,0.0,6.66300967569,0.0,0.183454542888,0.183454542888,0.183454542888,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.959829264356
 01/04  19:00:00,2.19312454033,6.88832558971,0.0,5.74767869488,0.0,0.158252474326,0.158252474326,0.158252474326,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09669191182
 01/04  20:00:00,2.17322155838,7.46032317862,0.0,6.29542203917,0.0,0.17333364781,0.17333364781,0.17333364781,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.1195309536
 01/04  21:00:00,2.02514391307,7.67592521806,0.0,6.5919703626,0.0,0.18149859725,0.18149859725,0.18149859725,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03702490303
 01/04  22:00:00,1.86124764281,7.89980405783,0.0,6.91741493018,0.0,0.190459155209,0.190459155209,0.190459155209,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.936554816139
 01/04  23:00:00,1.55632624584,8.36891007701,0.0,7.5548155069,0.0,0.208008886807,0.208008886807,0.208008886807,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.774430847345
 01/04  24:00:00,1.25779008911,8.88147486388,0.0,8.2482697897,0.0,0.227101961056,0.227101961056,0.227101961056,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.598738037126
 01/05  01:00:00,0.951814157505,9.07135287835,0.0,8.62934577367,0.0,0.237594234646,0.237594234646,0.237594234646,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413497615088
 01/05  02:00:00,0.836817667636,9.49112813475,0.0,9.13608804591,0.0,0.251546513937,0.251546513937,0.251546513937,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328790358638
 01/05  03:00:00,0.80150486903,9.99161062978,0.0,9.66030364045,0.0,0.265979891187,0.265979891187,0.265979891187,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305361603827
 01/05  04:00:00,0.806523451235,10.6306003302,0.0,10.2931797924,0.0,0.283405050508,0.283405050508,0.283405050508,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311840365923
 01/05  05:00:00,0.808616174882,10.8995370731,0.0,10.4958861381,0.0,0.288986222051,0.288986222051,0.288986222051,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.379037057573
 01/05  06:00:00,0.868399240234,11.3972041327,0.0,10.6966863327,0.0,0.294514910994,0.294514910994,0.294514910994,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.673050690988
 01/05  07:00:00,1.11112405662,12.6908954608,0.0,11.4362992069,0.0,0.314878882885,0.314878882885,0.314878882885,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22286071047
 01/05  08:00:00,1.41550196157,12.3402732456,0.0,10.9305252019,0.0,0.300953263171,0.300953263171,0.300953263171,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37602665115
 01/05  09:00:00,1.35558948178,11.7839022342,0.0,10.4174636857,0.0,0.286826994338,0.286826994338,0.286826994338,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.3379290589
 01/05  10:00:00,1.15155633874,10.8132974392,0.0,9.57070374288,0.0,0.263512911691,0.263512911691,0.263512911691,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21832981528
 01/05  11:00:00,1.14593977194,10.8187041143,0.0,9.71814318646,0.0,0.267572403879,0.267572403879,0.267572403879,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07572640052
 01/05  12:00:00,1.09373554792,8.19971201524,0.0,7.22814621947,0.0,0.199014608287,0.199014608287,0.199014608287,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.946723659794
 01/05  13:00:00,1.04708879803,6.9641124417,0.0,6.09143512274,0.0,0.167717217949,0.167717217949,0.167717217949,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.848253656945
 01/05  14:00:00,1.00375661777,6.12184784004,0.0,5.30708736469,0.0,0.146121547761,0.146121547761,0.146121547761,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.789492256799
 01/05  15:00:00,0.989726125548,5.42252443634,0.0,4.66484663042,0.0,0.128438550727,0.128438550727,0.128438550727,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.730986775909
