Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 02/25  19:00:00,2.61482299221,5.30411036742,0.0,5.26076719774,0.0,0.129980540238,0.129980540238,0.129980540238,0.580410413235,0.125035814648,0.432484217059,0.629263148149,0.671004858886
 02/25  20:00:00,2.74115228967,5.21888658492,0.0,5.17414791073,0.0,0.127445760997,0.127445760997,0.127445760997,0.74382696442,0.160240091303,0.349483984996,0.649523308363,0.693988179591
 02/25  21:00:00,2.60978681006,5.45385393794,0.0,5.4075772077,0.0,0.133252935483,0.133252935483,0.133252935483,0.693111422582,0.149314618441,0.310626769787,0.671853054836,0.634984008928
 02/25  22:00:00,2.36609750877,5.9168751328,0.0,5.87167879315,0.0,0.144711062218,0.144711062218,0.144711062218,0.574775370734,0.123821877033,0.293847511999,0.656167769509,0.556129917275
 02/25  23:00:00,1.93047874286,6.36504502152,0.0,6.32593338165,0.0,0.155689818662,0.155689818662,0.155689818662,0.428264026716,0.0922594475479,0.234076814023,0.567829113952,0.43571552196
 02/25  24:00:00,1.49118161038,6.75002412847,0.0,6.71603684119,0.0,0.1650144229,0.1650144229,0.1650144229,0.298657810201,0.0643388309091,0.151364647498,0.493432934242,0.301728964633
 02/26  01:00:00,1.04091769939,7.29459225098,0.0,7.26647958753,0.0,0.178365194365,0.178365194365,0.178365194365,0.152146386518,0.0327763842622,0.0928550823819,0.408144195277,0.159986456588
 02/26  02:00:00,0.868737751283,7.85039497946,0.0,7.82451062159,0.0,0.191958989521,0.191958989521,0.191958989521,0.090160839344,0.0194230361695,0.0760998372053,0.37579329429,0.0986577547529
 02/26  03:00:00,0.805867008264,8.1158427549,0.0,8.09025850553,0.0,0.198362182194,0.198362182194,0.198362182194,0.0619855790406,0.0133533395118,0.0622424290361,0.371436270588,0.0818432078926
 02/26  04:00:00,0.804153873402,8.43310959835,0.0,8.40788547917,0.0,0.205515948312,0.205515948312,0.205515948312,0.0619855790406,0.0133533395118,0.0538948626218,0.366207842146,0.0865523017688
 02/26  05:00:00,0.855423134886,8.58724412092,0.0,8.56297284623,0.0,0.209279894226,0.209279894226,0.209279894226,0.0619855790406,0.0133533395118,0.0657425557055,0.352374291893,0.13604347451
 02/26  06:00:00,1.13782330475,8.89263122757,0.0,8.86554643571,0.0,0.216309516604,0.216309516604,0.216309516604,0.0676206374745,0.0145672805595,0.0799978719753,0.393221389098,0.349462609043
