Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/10  15:00:00,2.18484498091,0.478655395692,0.0,0.0,1.10761700689,0.332737581046,1.44035458793,0.332737581046,0.0868166148324,0.0178069352286,0.307123779051,0.317668063866,0.456772883246
 10/10  16:00:00,2.41573320691,0.521938278746,0.0,0.0,1.18154654399,0.354894651485,1.53644119547,0.354894651485,0.108520702043,0.0222586690357,0.357691996357,0.375745644,0.496055101724
 10/10  17:00:00,2.78987837275,0.613057142209,0.0,0.0,1.26875584735,0.386466443076,1.65522229042,0.386466443076,0.177974007208,0.0365042199465,0.448631948385,0.456470906786,0.581613218707
 10/10  18:00:00,2.62455800008,0.696149319649,0.0,0.0,0.965225813966,0.323770484453,1.28899629842,0.323770484453,0.325562172626,0.0667760071072,0.402558890565,0.495589631367,0.662010709225
 10/10  19:00:00,2.40655457438,0.711470203062,0.0,0.0,0.688642658906,0.253652636218,0.942295295124,0.253652636218,0.512217801418,0.105060912393,0.320359612211,0.511545953236,0.676232444025
 10/10  20:00:00,2.28832454652,0.665101575185,0.0,0.0,0.571924636791,0.211027144385,0.782951781177,0.211027144385,0.564307796917,0.115745078986,0.281112667479,0.529132221962,0.628652388913
 10/10  21:00:00,1.95463181433,0.606699206218,0.0,0.0,0.426262614871,0.162672137531,0.588934752402,0.162672137531,0.473150404541,0.0970478079074,0.263644908961,0.516778940515,0.57110097371
 10/10  22:00:00,1.53331369373,0.513181404666,0.0,0.0,0.311163710052,0.119825854741,0.430989564793,0.119825854741,0.355948014416,0.073008439893,0.211086728929,0.447205945701,0.482375696489
 10/10  23:00:00,1.13694843365,0.413698714581,0.0,0.0,0.211936646067,0.0822915372092,0.294228183276,0.0822915372092,0.247427245876,0.0507497708572,0.140854588134,0.388613645507,0.386929127387
 10/10  24:00:00,0.756403443321,0.306374273221,0.0,0.0,0.127270335177,0.049727297386,0.176997632563,0.049727297386,0.12588401171,0.0258200533536,0.0911840680538,0.321442677641,0.284231747124
 10/11  01:00:00,0.482147164029,0.259467475157,0.0,0.0,0.0,0.0,0.0,0.0,0.07813492675,0.01602623625,0.0769469663719,0.295964034658,0.239080041202
 10/11  02:00:00,0.434756989015,0.24832887409,0.0,0.0,0.0,0.0,0.0,0.0,0.0520899489501,0.0106841611372,0.0643753113384,0.292532567589,0.22817781618
 10/11  03:00:00,0.423394912045,0.252023194225,0.0,0.0,0.0,0.0,0.0,0.0,0.0520899489501,0.0106841611372,0.0571309948506,0.288414807107,0.23215578757
 10/11  04:00:00,0.422912801488,0.289737446751,0.0,0.0,0.0,0.0,0.0,0.0,0.0520899489501,0.0106841611372,0.067543792236,0.277519899164,0.270620534041
 10/11  05:00:00,0.473086702498,0.457277371728,0.0,0.0,0.0,0.0,0.0,0.0,0.0564307796917,0.0115745078986,0.0803165119766,0.309689902932,0.435944433589
 10/11  06:00:00,0.648173357845,0.768549895847,0.0,0.0,0.0,0.0,0.0,0.0,0.117202390125,0.0240393680143,0.134040371138,0.357816228567,0.743901783664
 10/11  07:00:00,0.924645437484,0.849753278149,0.0,0.0,0.0,0.0,0.0,0.0,0.238745624291,0.0489690718787,0.211649190125,0.380206551189,0.823562812267
